λ,Curve-1_E
460.755,127.261
460.841,104.524
460.926,111.439
461.012,106.512
461.098,108.905
461.183,89.0906
461.269,97.9957
461.355,115.134
461.44,103.18
461.526,112.843
461.612,91.2411
461.697,104.656
461.783,103.457
461.869,111.623
461.954,93.5871
462.04,105.72
462.126,125.59
462.211,116.803
462.297,101.904
462.383,102.271
462.468,127.157
462.554,107.428
462.64,122.037
462.725,115.393
462.811,83.0284
462.897,93.1607
462.982,117.667
463.068,85.3348
463.154,109.084
463.239,119.347
463.325,102.677
463.411,110.908
463.496,91.7553
463.582,122.269
463.668,129.851
463.753,134.799
463.839,100.139
463.924,101.597
464.01,96.2957
464.096,101.33
464.181,89.1561
464.267,102.135
464.353,103.416
464.438,120.791
464.524,110.842
464.609,101.314
464.695,81.9087
464.781,108.522
464.866,109.882
464.952,92.8657
465.038,110.306
465.123,118.243
465.209,88.782
465.294,115.089
465.38,117.009
465.466,95.4378
465.551,117.001
465.637,95.6268
465.722,97.8259
465.808,102.087
465.894,119.494
465.979,112.059
466.065,116.872
466.15,111.709
466.236,104.162
466.321,102.848
466.407,114.092
466.493,119.614
466.578,111.85
466.664,103.152
466.749,113.269
466.835,112.793
466.921,112.879
467.006,111.356
467.092,97.3951
467.177,91.0503
467.263,107.979
467.348,101.32
467.434,106.078
467.52,118.216
467.605,96.8747
467.691,112.597
467.776,106.695
467.862,120.718
467.947,110.978
468.033,96.5636
468.118,101.816
468.204,105.891
468.29,115.799
468.375,136.735
468.461,130.739
468.546,99.3897
468.632,103.221
468.717,103.514
468.803,108.496
468.888,115.756
468.974,112.989
469.059,116.674
469.145,116.546
469.23,108.504
469.316,112.394
469.401,81.5837
469.487,103.854
469.573,112.654
469.658,121.472
469.744,123.319
469.829,130.523
469.915,100.081
470.0,106.491
470.086,98.9078
470.171,99.3733
470.257,116.161
470.342,92.1414
470.428,120.32
470.513,109.418
470.599,98.0389
470.684,111.782
470.77,119.103
470.855,122.673
470.941,96.8556
471.026,122.412
471.112,107.318
471.197,117.569
471.283,123.126
471.368,120.356
471.454,123.016
471.539,135.776
471.625,112.837
471.71,117.312
471.796,107.003
471.881,121.287
471.967,122.008
472.052,135.926
472.137,130.524
472.223,122.987
472.308,128.938
472.394,104.952
472.479,106.419
472.565,122.647
472.65,134.575
472.736,100.926
472.821,131.901
472.907,120.706
472.992,130.359
473.078,136.356
473.163,111.455
473.248,126.028
473.334,139.498
473.419,126.989
473.505,123.936
473.59,116.492
473.676,135.077
473.761,119.319
473.847,124.193
473.932,127.736
474.017,139.477
474.103,118.026
474.188,122.557
474.274,137.603
474.359,122.699
474.445,132.118
474.53,115.974
474.616,142.256
474.701,149.194
474.786,142.905
474.872,118.168
474.957,135.535
475.043,132.413
475.128,116.713
475.213,136.237
475.299,158.834
475.384,139.221
475.47,128.382
475.555,132.698
475.64,157.919
475.726,175.6
475.811,149.047
475.897,154.554
475.982,147.984
476.067,136.455
476.153,166.84
476.238,144.524
476.324,119.484
476.409,144.682
476.494,154.799
476.58,136.192
476.665,134.306
476.751,136.909
476.836,159.298
476.921,149.333
477.007,151.499
477.092,147.442
477.178,151.507
477.263,149.838
477.348,155.473
477.434,139.455
477.519,157.121
477.604,153.515
477.69,150.512
477.775,150.106
477.86,179.66
477.946,142.5
478.031,161.059
478.117,151.154
478.202,143.016
478.287,176.155
478.373,157.576
478.458,176.297
478.543,193.064
478.629,173.435
478.714,170.663
