λ,alta_E,bassa-esp_E,Raw_E
426.518,138.178,17.2666,19.6664
426.604,145.453,24.5794,40.3221
426.69,152.705,25.0036,34.4663
426.777,148.247,26.4708,24.8203
426.863,156.203,52.0077,27.3149
426.949,188.885,44.6844,41.9748
427.036,183.921,28.972,44.3833
427.122,186.632,32.9533,20.6065
427.208,190.751,65.0326,46.2981
427.295,195.272,45.6668,36.6196
427.381,203.69,45.3132,29.4732
427.467,233.767,59.5418,34.9742
427.554,245.972,74.8579,16.5951
427.64,276.984,55.9502,36.1384
427.726,265.02,80.9786,31.0008
427.813,275.665,72.2039,45.7423
427.899,258.047,73.8674,22.3901
427.985,240.765,66.7003,28.8642
428.072,257.92,50.3072,11.3406
428.158,240.755,65.9574,38.6854
428.244,224.391,63.8253,47.7164
428.331,216.349,58.3659,24.6551
428.417,197.3,34.4079,18.4407
428.503,197.946,47.3316,20.1785
428.59,185.228,25.8716,37.4981
428.676,192.894,44.1371,41.3409
428.762,202.558,23.289,26.7028
428.849,185.64,34.46,57.5707
428.935,175.617,21.0189,51.371
429.021,152.11,39.7868,13.3914
429.107,173.489,29.5089,28.7634
429.194,175.716,30.2799,43.5512
429.28,151.332,23.0041,16.9825
429.366,133.082,21.2816,11.5669
429.453,135.64,37.8685,28.8707
429.539,143.685,27.7076,41.2841
429.625,150.949,6.81756,32.1647
429.712,137.464,22.0088,47.0786
429.798,137.303,9.38932,35.1757
429.884,131.059,29.9861,13.6401
429.97,139.194,20.5936,28.0554
430.057,126.039,26.0412,50.9445
430.143,157.429,26.1433,32.091
430.229,123.166,31.796,40.4257
430.316,120.178,18.3854,17.5042
430.402,124.625,30.6229,28.7779
430.488,140.192,48.4401,31.2374
430.574,118.428,26.858,49.6145
430.661,128.226,12.0835,40.844
430.747,135.771,8.69678,22.7209
430.833,150.128,28.5235,41.1738
430.919,101.959,21.9671,3.10849
431.006,136.711,5.86164,49.6022
431.092,118.238,25.3962,20.206
431.178,122.354,34.666,22.6838
431.264,139.41,14.6853,36.1897
431.351,121.123,26.7779,26.3684
431.437,122.03,22.4007,35.194
431.523,140.946,21.0557,45.9177
431.61,142.836,16.3607,4.93713
431.696,173.419,31.4146,34.4276
431.782,182.153,8.60631,27.597
431.868,173.885,32.378,17.4176
431.955,162.147,53.6467,28.89
432.041,181.47,12.9393,36.1975
432.127,158.718,4.52993,29.0105
432.213,163.522,23.1675,16.6117
432.3,185.444,27.7788,32.7988
432.386,126.902,17.3628,35.6969
432.472,172.972,18.7175,43.5373
432.558,185.276,0.458687,38.366
432.644,163.616,15.9352,55.4809
432.731,156.787,17.6551,43.1911
432.817,196.571,34.4136,58.9452
432.903,166.103,29.8735,26.838
432.989,177.46,20.4318,37.376
433.076,207.11,19.7736,29.6158
