λ,sp1_E
512.889,340.379
512.974,351.967
513.058,315.347
513.143,317.763
513.228,325.638
513.312,264.088
513.397,244.717
513.482,321.483
513.566,368.584
513.651,290.925
513.736,302.573
513.82,321.792
513.905,342.978
513.99,384.359
514.074,332.677
514.159,353.891
514.244,341.678
514.328,343.081
514.413,289.421
514.498,387.342
514.582,362.054
514.667,362.221
514.752,363.413
514.836,438.334
514.921,359.031
515.005,340.71
515.09,384.581
515.175,360.562
515.259,275.555
515.344,352.236
515.429,305.356
515.513,307.635
515.598,325.063
515.682,314.8
515.767,293.096
515.852,278.843
515.936,361.147
516.021,339.245
516.106,325.906
516.19,298.366
516.275,352.517
516.359,348.794
516.444,331.836
516.529,344.929
516.613,379.005
516.698,337.454
516.782,363.633
516.867,407.03
516.952,370.69
517.036,360.51
517.121,301.866
517.205,295.928
517.29,306.385
517.375,308.231
517.459,334.777
517.544,352.866
517.628,358.438
517.713,339.621
517.798,321.141
517.882,336.771
517.967,333.793
518.051,352.226
518.136,348.663
518.22,321.963
518.305,347.391
518.39,339.137
518.474,307.423
518.559,320.407
518.643,316.555
518.728,325.026
518.812,299.11
518.897,283.508
518.982,392.89
519.066,298.511
519.151,277.854
519.235,328.98
519.32,282.251
519.404,280.801
519.489,363.809
519.573,357.129
519.658,329.507
519.743,311.966
519.827,272.572
519.912,313.106
519.996,311.643
520.081,309.869
520.165,283.867
520.25,296.483
520.334,358.13
520.419,308.112
520.503,318.94
520.588,303.549
520.672,337.792
520.757,315.724
520.841,337.98
520.926,323.481
521.011,317.258
521.095,286.55
521.18,288.902
521.264,336.629
521.349,347.8
521.433,312.863
521.518,314.308
521.602,320.218
521.687,304.339
521.771,310.387
521.856,321.625
521.94,323.084
522.025,353.385
522.109,300.276
522.194,291.499
522.278,317.499
522.363,309.781
522.447,299.076
522.532,336.149
522.616,333.074
522.701,321.952
522.785,348.353
522.87,336.696
522.954,359.724
523.039,346.532
523.123,345.629
523.207,314.843
523.292,327.42
523.376,311.5
523.461,307.698
523.545,333.679
523.63,337.563
523.714,326.474
523.799,379.83
523.883,348.771
523.968,289.822
524.052,328.199
524.137,325.143
524.221,365.173
524.306,361.804
524.39,373.048
524.474,301.935
524.559,327.745
524.643,268.456
524.728,257.401
524.812,337.191
524.897,327.766
524.981,300.601
525.066,316.806
525.15,213.938
525.234,246.197
525.319,338.003
525.403,350.722
525.488,365.191
525.572,365.97
525.657,329.412
525.741,312.414
525.825,349.679
525.91,357.038
525.994,366.908
526.079,328.485
526.163,311.508
526.248,324.525
526.332,343.797
526.416,297.028
526.501,299.566
526.585,279.668
526.67,347.013
526.754,340.19
526.838,329.929
526.923,308.75
527.007,362.414
527.092,326.113
527.176,328.003
527.26,285.468
527.345,357.441
527.429,348.344
527.514,325.545
527.598,337.849
527.682,319.64
527.767,340.177
527.851,335.362
527.936,291.763
528.02,351.048
528.104,343.504
528.189,298.568
528.273,327.708
528.358,376.056
528.442,300.34
528.526,299.858
528.611,264.399
528.695,342.982
528.779,344.236
528.864,347.446
528.948,313.834
529.032,346.207
529.117,345.216
529.201,382.196
529.286,327.093
529.37,354.131
529.454,368.064
529.539,349.885
529.623,361.42
529.707,424.366
529.792,300.678
529.876,333.215
529.96,322.805
530.045,384.329
530.129,355.347
530.213,338.669
530.298,306.08
530.382,378.136
530.466,380.261
530.551,310.135
530.635,330.762
530.719,357.472
530.804,392.523
530.888,362.243
530.972,327.847
531.057,369.887
531.141,342.621
531.225,323.497
531.31,312.075
531.394,305.6
531.478,322.633
531.563,352.612
531.647,335.588
531.731,389.597
531.816,338.243
531.9,297.385
531.984,342.363
532.068,311.143
532.153,357.267
532.237,350.796
532.321,320.833
532.406,301.682
532.49,311.808
532.574,290.689
532.659,361.456
532.743,345.139
532.827,344.76
532.911,289.132
532.996,286.765
533.08,356.072
533.164,358.529
533.249,299.869
533.333,292.216
533.417,396.006
533.501,344.714
533.586,373.108
533.67,295.868
533.754,320.507
533.838,353.023
533.923,343.111
534.007,338.474
534.091,369.472
534.175,336.254
534.26,302.982
534.344,348.536
534.428,385.093
534.513,404.074
534.597,284.737
534.681,317.547
534.765,312.452
534.85,353.879
534.934,319.491
535.018,339.006
535.102,341.205
535.187,364.779
535.271,343.966
535.355,358.063
535.439,412.059
535.523,284.122
535.608,336.639
535.692,339.231
535.776,323.111
535.86,324.44
535.945,377.018
536.029,340.999
536.113,402.82
536.197,312.769
536.282,323.53
536.366,366.938
536.45,348.684
536.534,363.022
536.618,364.466
536.703,366.996
536.787,367.13
536.871,348.287
536.955,369.712
537.039,304.319
537.124,362.164
537.208,383.004
537.292,304.147
537.376,349.738
537.46,302.924
537.545,346.272
537.629,355.439
537.713,335.767
537.797,364.105
537.881,334.499
537.966,292.675
538.05,338.179
538.134,353.573
538.218,370.631
538.302,393.375
538.386,368.597
538.471,383.069
538.555,289.991
538.639,325.374
538.723,345.387
538.807,337.922
538.892,387.519
538.976,309.111
539.06,335.738
539.144,380.708
539.228,384.597
539.312,332.157
539.397,346.354
539.481,346.993
539.565,397.297
539.649,337.413
539.733,373.446
539.817,347.625
539.901,375.246
539.986,387.904
540.07,353.887
540.154,394.022
540.238,401.82
540.322,306.648
540.406,348.137
540.49,377.544
