λ,alta_E
464.524,533.414
464.609,597.739
464.695,608.644
464.781,636.438
464.866,716.053
464.952,751.843
465.038,762.338
465.123,777.011
465.209,853.656
465.294,855.678
465.38,766.075
465.466,708.561
465.551,619.804
465.637,468.737
465.722,383.164
465.808,351.515
465.894,364.941
465.979,341.273
466.065,380.893
466.15,388.405
466.236,392.778
466.321,408.311
466.407,442.828
466.493,470.472
466.578,465.274
466.664,506.065
466.749,510.333
466.835,470.007
466.921,447.294
467.006,430.623
467.092,367.378
467.177,300.099
467.263,308.028
467.348,255.437
467.434,272.516
467.52,268.693
467.605,277.684
467.691,268.192
467.776,327.691
467.862,297.636
467.947,307.078
468.033,317.148
468.118,313.811
468.204,330.079
468.29,317.686
468.375,342.378
468.461,359.506
468.546,393.837
468.632,355.555
468.717,384.584
468.803,378.743
468.888,390.932
468.974,407.188
469.059,386.685
469.145,408.38
469.23,393.856
469.316,411.947
469.401,429.296
469.487,419.738
469.573,431.079
469.658,491.7
469.744,434.789
469.829,440.593
469.915,451.757
470.0,471.316
470.086,472.612
470.171,456.591
470.257,488.104
470.342,498.282
470.428,530.659
470.513,516.654
470.599,623.779
470.684,701.573
470.77,799.792
470.855,873.985
470.941,983.763
471.026,1042.16
471.112,1032.43
471.197,936.293
471.283,787.74
471.368,589.393
471.454,415.227
471.539,293.124
471.625,298.704
471.71,296.441
471.796,340.575
471.881,353.117
471.967,350.025
472.052,399.744
472.137,426.087
472.223,398.839
472.308,437.951
472.394,368.165
472.479,391.532
472.565,360.352
472.65,279.8
472.736,219.081
472.821,222.047
472.907,209.764
472.992,190.568
473.078,213.668
473.163,233.841
473.248,231.606
473.334,263.212
473.419,236.297
473.505,235.248
473.59,224.328
473.676,261.595
473.761,271.984
473.847,246.011
473.932,263.844
474.017,242.982
474.103,254.163
474.188,259.678
474.274,278.444
474.359,275.164
474.445,266.101
474.53,297.786
474.616,328.197
474.701,294.593
474.786,324.555
474.872,275.425
474.957,320.484
475.043,281.45
475.128,300.681
475.213,285.951
475.299,301.213
475.384,299.364
475.47,283.893
475.555,291.976
475.64,302.051
475.726,311.435
475.811,289.997
475.897,279.577
475.982,283.896
476.067,251.136
476.153,341.188
476.238,324.159
476.324,302.514
476.409,263.04
476.494,288.143
476.58,283.65
476.665,262.465
476.751,314.506
476.836,281.679
476.921,281.834
477.007,289.307
477.092,250.258
477.178,280.523
477.263,244.484
477.348,230.963
477.434,282.614
477.519,277.965
477.604,249.204
477.69,234.362
